,userName,content,score,at,category
73,John Wickham,"App crashing consistently for over a month now, not acceptable. Only happens when the app is running in the background. Reinstall does not resolve.",2,2026-03-09 20:12:19,BUG
74,Susan Caine,thank you very much for providing the app for this meeting - blessings,5,2026-03-09 20:11:02,BUG
75,Jan Mishelle Uy,there's a problem while I am installing your app l. Did it for 3 times now,1,2026-03-09 19:54:32,BUG
76,Awdhesh Srivastav,excellent ✨✨✨✨✨✨,5,2026-03-09 19:08:39,BUG
77,Liane Liane,could meat with people,4,2026-03-09 19:07:43,FEATURE
78,Patrick Fleming,crashed 3x in about 15 minutes on my phone,1,2026-03-09 18:58:56,BUG
79,Freedom Stone Mycology,ZOOM DECIDED TO NON LAWFULLY CHARGE MY PAYPAL ACCOUNT STILL GOING THROUGH IT BUT THUS FAR ROUGHLY $100.00 + CHARGED ABSOLUTELY OBSURD & I DEMAND REFUNDS I NEVER SIGNED UP FOR THAT CRUD I ANSWERED A CALL FROM A SCHOOL,1,2026-03-09 18:26:38,BUG
80,Mahesh Mahesh,"Dear Mahesh M Poojary, Download the Zoom Workplace app bit.ly/3ImsDWV. CG Parivar Team ManavGuru's Saral Vaastu",5,2026-03-09 16:51:25,BUG
81,john collier,App integrates seamlessly on Samsung galaxy tablet ( love the face tracking camera) 😀,5,2026-03-09 15:31:23,BUG
82,Seyi ayodeji,great 👌👌👌,5,2026-03-09 15:31:04,BUG
83,rkb imt,good,5,2026-03-09 14:35:47,BUG
84,Kgothatso Evodia,meeting,5,2026-03-09 14:32:06,BUG
85,Jharna Mondal,very bad application,1,2026-03-09 13:52:40,BUG
86,Humera Rashid,very good 😊😊😊😊😊😊💯😊💯😊💯💯💯😊💯😊💯😊💯😊💯😊💯😊💯😊💯💯💯 😊😊😊👍🏻😊👍🏻😊 7,5,2026-03-09 13:23:35,BUG
87,Temitope Adekunle,love this app try it right now,5,2026-03-09 13:18:25,BUG
88,Erin Boylan,I don't appreciate the constant changes to the website! also don't like the moving screen,2,2026-03-09 13:04:12,BUG
89,Vinuga Sasmira,💗💗💗💗💗😛👊,5,2026-03-09 12:30:43,BUG
90,John Leitera,"Zoom, why are you changing everything and f$#cking with the app. leave it be",2,2026-03-09 12:14:00,BUG
91,boaz misoga,it was best experience.,4,2026-03-09 11:17:43,BUG
92,Shivbabu Pal,zoom बहुत disconect होता हैं,2,2026-03-09 10:53:39,BUG
93,vinay gautam,not good,2,2026-03-09 10:36:15,FEATURE
94,Amrender Kumar,it is very good,5,2026-03-09 10:18:09,BUG
95,Manjeet Rajbhar,good,5,2026-03-09 10:17:20,BUG
96,Sahid Husain,no experience,5,2026-03-09 10:01:19,FEATURE
97,Greeshmanth Shayam Nandhitha,somewhat good but need to improve,3,2026-03-09 09:57:04,BUG
98,Ramesh Chandra Srivastava,yah bahut jyada MB ka hai isko thoda kam MB ka banaye,1,2026-03-09 09:47:53,BUG
99,Ravindhar Adepu,very good,5,2026-03-09 09:39:25,BUG
