ID,App-name,version,rating,date,device,author,body,category,cluster,priority
18,org.wordpress.android,2.7.1,1,1396806097969,?,melissa ward,Doesnt work I cant even log in  seems to be an issue for many. As someone who blogs to communicate with those back home this is very irritating.,BUG,C12,NORMAL
19,org.wordpress.android,2.7.1,2,1396811767048,Asus Nexus 7,Adam Hammett,Doesn't work Won't let me log in,BUG,C12,NORMAL
20,org.wordpress.android,2.7.1,1,1397097680204,?,Motti Bembaron,Stupid! Can't log in  period! No matter what I do. I tried all the three blogs I have and could not log in. Open a browser and was in in a minute. Deleted it. Needs work,BUG,C12,NORMAL
21,org.wordpress.android,2.7.1,2,1396964691034,Samsung Galaxy S3,Von Simeon,Updates Remove Website! After last week's application update  my View Site link permanently displays 'website not found' so it's difficult to confirm the way the page looks after a mobile post/update.,BUG,C13,NORMAL
22,org.wordpress.android,2.7.1,3,1396910234015,Motorola Droid 3,Justin Diehl,Recent update breaks editing The latest update causes html tags to appear when I edit a post. This occurs if I edit a post I've made via the app and posts I've made via web. Annoying to wade through.,BUG,C14,NORMAL
23,org.wordpress.android,2.7.1,3,1396620042484,?,Stephen Chan,Still half baked... Improved a lot - speed  UI  stability  etc - but I STILL don't understand why the HTML formatting tags show up when I edit a post.   Instead of showing formatted text  it shows HTML code.  Pls fix it. Really annoying.,BUG,C14,NORMAL
24,org.wordpress.android,2.7.1,2,1396853495580,?,BERNA DETTE,Uploading Posts Issue I used to enjoy this. But lately  all the posts I make does not gets published (even with good connection). It just stays as draft even if you edit them. Then I'll just have to upload post (redoing it) using a computer.,BUG,C15,NORMAL
25,org.wordpress.android,2.7.1,1,1396949092980,?,chirag shah,VERY POOR APP When downloaded this and it didn't installed & some error is coming & it does not install & I  have good Space in phone,BUG,C16,NORMAL
26,org.wordpress.android,2.7.1,3,1397040443849,?,Brenna Bombshell,Was awesome until update Amd now the stats won't refresh  it's slow and buggy. Go back to the beginning guys.,PERFORMANCE,C17,NORMAL
27,org.wordpress.android,2.7.1,1,1396960835354,?,John Keller,Cant find my subscriptions Instead of my subscriptions  Reagee gives me a collection of blogs I dont care about.  unacceptably poor UI and navigation is a pain.,USABILITY,C18,NORMAL
28,org.wordpress.android,2.7.1,3,1396589720329,Motorola Droid 3,Bernard Gilles,Nice  but... wish it was easier to get new posts with text+images formated as easily as windows desktop version.,USABILITY,C18,NORMAL
38,org.linphone,1.0.16,1,1288575781195,Motorola Droid,A Google User,? Doesn't work. Locked out my account,BUG,C0,NORMAL
39,org.linphone,1.0.16,4,1291675546046,HTC Desire,A Google User,? i like it! Please better integration into native Android phone functions,FEATURE,C1,NORMAL
40,org.linphone,1.0.16,2,1294729647022,Motorola Droid,A Google User,? Needs bluetooth,FEATURE,C2,NORMAL
41,org.linphone,1.0.16,1,1287464074165,Samsung Galaxy S,A Google User,? No Bluetooth support,FEATURE,C2,NORMAL
42,org.linphone,1.0.16,2,1286919471092,HTC Desire,A Google User,? Easy to set-up and use. Works fine. SmartVoIP user. But poor call quality. And no call conferencing ability  either. - Desire 2.2.,FEATURE,C3,NORMAL
43,org.linphone,1.0.16,2,1295644214396,HTC Aria,A Google User,? This is the only app that does exactly what I need it do  but it ALWAYS crashes after a while. Sometimes after several minutes  sometimes seconds,BUG,C4,HIGH
44,org.linphone,1.0.16,4,1295158079511,?,A Google User,? Sometimes  the call would just drop. Otherwise works perfectly.,BUG,C4,HIGH
45,org.linphone,1.0.16,1,1289884959830,HTC Evo 4G,A Google User,? Doesn't work on EVO,BUG,C5,NORMAL
46,org.linphone,1.0.16,1,1292670035909,Samsung Galaxy S,A Google User,? Does not work on galaxy s 2.2,BUG,C6,NORMAL
47,org.linphone,1.0.16,1,1296271115610,Samsung Galaxy Tab,A Google User,? Doesnt work with galaxy tab...,BUG,C7,NORMAL
48,org.linphone,1.0.16,1,1291326235379,Samsung Galaxy S,A Google User,? It doesnt even connect on a wifi lan to a default Asterisk. The settings are way too poor.,BUG,C8,NORMAL
49,org.linphone,1.0.16,2,1293004877520,Samsung Galaxy S,A Google User,? I can hear the other party but they can not hear me  noisy and echo issues,BUG,C9,NORMAL
50,org.linphone,1.0.16,2,1296608000465,Samsung Galaxy Tab,A Google User,? Too much delay n echo others apps run faster even with vdo on the same wifi. On 3g seems to hung up very often,PERFORMANCE,C10,NORMAL
51,org.linphone,1.0.16,3,1287272191798,?,A Google User,? Need to update for the cliq phone calls be slow to connect an cant see who calls me cool app just need to update the app on things an us are ringtones,PERFORMANCE,C10,NORMAL
52,org.linphone,1.0.16,3,1296341007979,Samsung Galaxy S,A Google User,? Redials calls randomly when reg dialer being used as default  then phone locks or screen blanks  hard to cancel call. 2.1 galaxy s,BUG,C11,NORMAL
53,org.linphone,1.0.16,1,1286388257474,?,A Google User,? Poor customer service  shows very weired contacts  call get disconnected regularly & some times make double call too.,BUG,C11,NORMAL
54,org.linphone,1.0.16,3,1293643012362,?,A Google User,? The application is simple and neat. But they are issues when dtmf tones are entered. The screen goes blank sometimes. This is on Droid X Froyo,BUG,C12,NORMAL
55,org.linphone,1.0.16,3,1287243594822,?,A Google User,? Works well w/ voip.ms  however when call connects  Droid 2 screen blanks and won't activate. I have to sleep & unsleep phone to hang up call.,BUG,C13,NORMAL
56,org.linphone,1.0.16,4,1294964112337,HTC myTouch 4G,A Google User,? Just installed. Tried others. Place & r'ceive calls perfectly but not sure about sound quality. Person couldn't hear me but I heard them. We'll see...,FEATURE,C14,NORMAL
57,org.linphone,1.0.16,2,1286785655415,HTC myTouch 3G,A Google User,? Would be a great app if the sound quality was better. People I was calling couldn't understand me. Tried many times.,FEATURE,C14,NORMAL
58,org.linphone,1.0.16,3,1286401436516,?,A Google User,? Good beginning but still needs work - audio quality and interface stability not equal to Sipdroid (Droid X 2.2),FEATURE,C14,NORMAL
59,org.linphone,1.0.16,2,1287760769728,HTC Hero ,A Google User,? No sound settings at all  unable to turn off extremly loud incoming call. No way to disable incoming calls.,FEATURE,C15,NORMAL
60,org.linphone,1.0.16,3,1294561546127,LG Swift,A Google User,? Stable but no NAT or STUN config  no audio. Asterisk with VOIP trunks.,FEATURE,C15,NORMAL
61,org.linphone,1.0.16,3,1286606423470,?,A Google User,? Missing STUN support,FEATURE,C16,NORMAL
62,org.linphone,1.0.16,1,1290814226406,?,A Google User,? Avoid this garbage  it takes over all calls even if you don't enable SIP messing up your phone completely!,BUG,C17,NORMAL
63,org.linphone,1.0.16,1,1295637117755,?,A Google User,? Don't have time to read history of Voip on your website. It's like reading an instruction manual. I just want to make calls.,USABILITY,C18,NORMAL
64,org.linphone,1.0.16,1,1289619392549,Samsung Galaxy S,A Google User,? I can hardly understand using Linphone. That sound is very noisy. What shall I do?,USABILITY,C18,NORMAL
65,org.linphone,1.0.16,1,1296624892881,?,A Google User,? Hard to use,USABILITY,C18,NORMAL
66,com.dozuki.ifixit,1.3.1,4,1366675492308,EeePad Transformer TF300,GerardoOntiveros10,Great content Great content for my devices but crashes frequently after being in the tutorial for a few page,BUG,C1,HIGH
67,com.dozuki.ifixit,1.3.1,1,1373175728689,Samsung Galaxy S3,Nancy Warner,No help at all I had trouble with my Samsung 10.1 tab. It shows a gold battery chatlrging when charged   but it its frozwn on that screen . Thrre are no real help tricks just a bunch of peoe giving advise. I CAN GET THE SAME ON YAHOO. NO HELP AT ALL,BUG,C2,NORMAL
68,com.dozuki.ifixit,1.3.1,3,1372183099693,Samsung Galaxy S,Jeremiah Beckley,nice!!!! like the app but cant seem to ask any questions... i tried to ask a question about my turtle beach  headphones but wouldnt bring up the keypad to type in what i needed to..,BUG,C3,NORMAL
69,com.dozuki.ifixit,1.3.1,4,1375213951795,?,Micah Chetrit,Menus could use work Great app  but the menus make it hard to find things sometimes.  Maybe try making it look like the website when looking for manuals.  Fix that and it's a 5 star app easily.,USABILITY,C4,HIGH
70,com.dozuki.ifixit,1.3.1,2,1366768111832,Samsung Galaxy Nexus,Ben Tripoli,Full screen?? App takes over full screen on phone  thereby blocking notifications.   Very obnoxious.,USABILITY,C4,HIGH
71,org.dolphinemu.dolphinemu,0.11,1,1380291134119,?,David Waggoner,"Well I don't know... ""Cannot use compressed file types"" WTF. John emulators can. Why can't this one? If it could I'd give 5 stars",BUG,C0,NORMAL
72,org.dolphinemu.dolphinemu,0.11,1,1379246094974,Asus Nexus 7,Lily Engquist,I Can't even get games for it!!!!!! It seems good but I got SUPER MARIO SUNSHINE from a site that said it had ROMs for this emulator. I downloaded it and clicked on it. THEN THE EMULATOR JUST SAID 'CANNOT USE COMPRESSED FILE TYPES. I'LL FIND ANOTHER EMULATOR IF THIS DOESN'T WORK.,BUG,C0,NORMAL
73,org.dolphinemu.dolphinemu,0.11,1,1381543094788,?,Matthew Knight,Sucks Cannot use compressed files please fix!,BUG,C0,NORMAL
74,org.dolphinemu.dolphinemu,0.11,1,1380376131495,Samsung Galaxy S3,Jordan Malone,Doesn't work Every time I download a game it says it can't open a compressed file. I can't plsy anything.,BUG,C0,NORMAL
75,org.dolphinemu.dolphinemu,0.11,1,1378244414133,Samsung Galaxy S3,Jesus Negrete,Won't work Its says compressed files what am I doing wrong downloaded sms on coolrom please help,BUG,C0,NORMAL
76,org.dolphinemu.dolphinemu,0.11,2,1380763153464,Asus Nexus 7,Matthew Smith,Can't use compressed files I tried to play pokemon Colosseum and it can't use compressed file types.I tried with different versions but didn't work .At least tell me where to find a pokemon Colosseum rom.,BUG,C0,NORMAL
77,org.dolphinemu.dolphinemu,0.11,2,1379167294755,?,Long Her,Games How come when i download a game  it say cannot use compress file type,BUG,C0,NORMAL
78,org.dolphinemu.dolphinemu,0.11,2,1377212636163,Asus Nexus 7,Maliya Kue,Dolphin Emulator Alpha It seems good but I can't even play my Roms. It said can not use compressed file types. By the way I downloaded the ROM from coolrom and I'm using a nexus 7. Please fix this.,BUG,C0,NORMAL
79,org.dolphinemu.dolphinemu,0.11,2,1380674413590,?,Janis Vuskalns,? I can't  get it to work  whenever I try to open a game  it says can't open compresed file  please get it fixed there are no more gamecube emulators out their  please fix.,BUG,C0,NORMAL
80,org.dolphinemu.dolphinemu,0.11,2,1381367043489,?,Miguel Ruiz,Ok emulator I downloaded sonic heroes and its telling me that it wont take compressed files please somebody help me,BUG,C0,NORMAL
81,org.dolphinemu.dolphinemu,0.11,2,1378205953874,?,Aldo Alanis,Help How come i cant play any of the games i download it keeps saying cant play  compressed files wht ever tht means,BUG,C0,NORMAL
82,org.dolphinemu.dolphinemu,0.11,3,1378170946561,?,Oscar A.,Halp Can someone at least tell me how to get through this compressed file thing,BUG,C0,NORMAL
83,org.dolphinemu.dolphinemu,0.11,3,1379489827365,?,krobles100,Help I downloades super Mario sunshine from coolrom as well as burnout 2 but when I try to open them both say cant use compressed file running on galaxy s4 what do I do???,BUG,C0,NORMAL
84,org.dolphinemu.dolphinemu,0.11,3,1382007277672,?,Samer Wisaa,Cannot use compressed files? I know many people said this  but i was eager to play and then the emulator said that it cannot use compressed files. I got the rom from cool rom and the game was super smash bros melee. Note I am using a samsung galaxy tab 2 7.0 .Because the author is working hard  I give this 3 stars.  P.S I played ssb for n64 and it ran almost PERFECT  exept for the fact that the heads were facing the inside of their bodies and a few other graphical glitches.,BUG,C0,NORMAL
85,org.dolphinemu.dolphinemu,0.11,3,1380464439282,?,Ryan Collins,P4oboem Every time i down load a rom its says cannot run compress files how do I fix this,BUG,C0,NORMAL
86,org.dolphinemu.dolphinemu,0.11,1,1379014119327,Samsung Galaxy S2,Jovi Garcia,Help Every time i load the download folder full of my roms it freezes then only show the background please fix,BUG,C1,HIGH
87,org.dolphinemu.dolphinemu,0.11,1,1378082474438,EeePad Transformer TF101,Jolene Strain,Doesnt work I open the folder to access my games and it just goes to a black screen and just hangs,BUG,C1,HIGH
88,org.dolphinemu.dolphinemu,0.11,1,1377491026471,Samsung Galaxy S2,Antonio Cervantes,Laughable Doesn't work properly  open  browse folder = crash.open settings = app stops working  Until that is fixed I might rate better but for now it's utter useless  P.s. I have 11/12 GB of storage 1.2/2 GB of memory,BUG,C1,HIGH
89,org.dolphinemu.dolphinemu,0.11,1,1378581297605,?,Bobby Lowe,Terrible I can't use this app because when I click download to select the game it go's black. If that could be fixed immediate five stars.PLEASE FIX!!!,BUG,C1,HIGH
90,org.dolphinemu.dolphinemu,0.11,1,1380977499861,?,JeanMark Delgado,App has problems When I try to open the Downloads folder (where the ROM is located) the app freezes and then goes to a black screen.,BUG,C1,HIGH
91,org.dolphinemu.dolphinemu,0.11,1,1378164850435,?,Michael Kwon,badbadnad when I just click downloads in the dolphine emulator it just stop and nothing happen,BUG,C1,HIGH
92,org.dolphinemu.dolphinemu,0.11,1,1381702882274,Samsung Galaxy S2,Deedle Nathaniel,Please fix I try to load in download folder but when click on folder it freezes and force close. I try moving it to dif folder and when i do it does same thing,BUG,C1,HIGH
93,org.dolphinemu.dolphinemu,0.11,1,1378800098148,?,A Google User,Poor IT WONT RUN THE FILE BROWSER every time I go into a folder that has one in it the emulator stops I'm using a Sony Xperia sola,BUG,C1,HIGH
94,org.dolphinemu.dolphinemu,0.11,1,1379716711553,?,Maryann Porto,Its broken uninstall Everytime I try and look for the from file the app just locks up when I try and open the file with the rom,BUG,C1,HIGH
95,org.dolphinemu.dolphinemu,0.11,2,1378179678500,?,Alyssa Salazar,? It wont let me go into a folder. Can you fix this or tell me whats wrong?? Im using a galaxy tab 2 7.0  please and thank you.,BUG,C1,HIGH
96,org.dolphinemu.dolphinemu,0.11,2,1378311422177,?,Mikailu Koroma,Bad When I try to open the folder where my Rom is it sort of crashes,BUG,C1,HIGH
97,org.dolphinemu.dolphinemu,0.11,2,1379032998232,Samsung Galaxy S3,Nick Marko,Crashes This crashes my 3gs whenever I try to access any files.,BUG,C1,HIGH
98,org.dolphinemu.dolphinemu,0.11,2,1379998411813,Toshiba AT100,Rafael Arroyo,Toshiba thrive Wont open game folder please fix thanks,BUG,C1,HIGH
99,org.dolphinemu.dolphinemu,0.11,2,1380024994542,?,patrick lourcey,Freeze before I can even play I try to find a rom to play by browse folder  goes into landscape and freezes before I can do anything,BUG,C1,HIGH
100,org.dolphinemu.dolphinemu,0.11,2,1381253455000,?,Nicolas Raudales,WTF the screen turns black after i click the download file what the hell man fix this please i wanna play Super Mario Sunshine lol,BUG,C1,HIGH
101,org.dolphinemu.dolphinemu,0.11,2,1377063858727,?,Angelo David,Sorry... Guys  Ive downloaded Ultimate Spider Man for like 5 hours. Then ive browse folders then i go through the ext SD then it hangs and goes black! I cannot play please try harder to make it playable i really need to play it plss...,BUG,C1,HIGH
102,org.dolphinemu.dolphinemu,0.11,2,1381627188273,?,Rocky Gribble,Black screen Won't load the downloads folder under external/sd on my LG escape P870  the screen went black and froze when selected. I would really like to use this app haven't played the gamecube since I was like 11 or 12 and can't afford to buy one can barely afford a cheeseburger please fix,BUG,C1,HIGH
103,org.dolphinemu.dolphinemu,0.11,3,1378346931977,?,Noble De los santos,Would use but fix nook hd Crashes on te noook hd when you open folder named Download,BUG,C1,HIGH
104,org.dolphinemu.dolphinemu,0.11,3,1378573542051,EeePad Transformer TF101,Alex Mercer,Tegra 2 ? This Emulator Can Run On My Tablet Asus TF101 Or Not?? I Need It So Badly.... The Emulator Works But When i Go To The Game For Folder it Takes Like Forever With Black Scary Screen.. :D Well if it Works Later i Will Give it 800 Stars if i Can.. <3,BUG,C1,HIGH
105,org.dolphinemu.dolphinemu,0.11,1,1381909021154,?,Joseph Kreifels II,Game doesn't show up I navigate to the download folder but it shows nothing,BUG,C2,NORMAL
106,org.dolphinemu.dolphinemu,0.11,1,1379618104461,?,dylan ross,Does not work Games don't show up after download and it won't let me play when one did show up please fix it also tells me that there is no application to open the file,BUG,C2,NORMAL
107,org.dolphinemu.dolphinemu,0.11,5,1385010889339,?,Brian Blanco,Black Screen It doesn't show my games when I browse the folder but you have my full support because it is an alpha.,BUG,C2,NORMAL
108,org.dolphinemu.dolphinemu,0.11,1,1378954389080,?,Joey Gonzalez,! Won't let me play any GameCube games,BUG,C3,NORMAL
109,org.dolphinemu.dolphinemu,0.11,1,1381975858529,Asus Nexus 7,GLYNNIS SULLIVAN,? Can't download GameCube files on the nexus 7,BUG,C3,NORMAL
110,org.dolphinemu.dolphinemu,0.11,2,1380398688008,Samsung Galaxy S3,Zack Fries,It's a start I can't seem to download games for it  everytime I try to open the GameCube files I downloaded it says they can't be opened  not to mention I hear that people who did download the games are saying it moves very slowly so at least the concept is here but until there's an easier way to download games and play them at a faster rate I'm only giving it 2 stars,BUG,C3,NORMAL
111,org.dolphinemu.dolphinemu,0.11,5,1380765489991,Asus Nexus 7,Joshua Koontz,Update please I love the concept of this app  but for some reason it will tell me that the GameCube game that I want to play is not compatible or something like that. Please fix.,BUG,C3,NORMAL
112,org.dolphinemu.dolphinemu,0.11,3,1382059723849,?,matt lindsay,Dont work on sgs4 Great app. (If u can get it to work).Its nice to finally see some gc titles on the android. Although there are a lot of bugs and glitches that still need to be worked out. Im anxious to see the finished product..,BUG,C4,NORMAL
113,org.dolphinemu.dolphinemu,0.11,2,1378865346037,?,Colton Brucks,Needs Work As you have said  it's a work in progress. My Sony Xperia Z can start the games  but they run slowly then crash. Also  the gamepad won't appear on screen. Excited to see what's to come.,BUG,C5,NORMAL
114,org.dolphinemu.dolphinemu,0.11,4,1379879983671,Asus Nexus 7,Jason Swiertz,One problem I can't get the controls to work please help,BUG,C5,NORMAL
115,org.dolphinemu.dolphinemu,0.11,1,1382118726742,?,Jordan Ruiz,doesn't work on lg optimum g won't load any games this app doesn't work,BUG,C6,HIGH
116,org.dolphinemu.dolphinemu,0.11,1,1380068647116,?,Stephen viray,I don't get it Opens but if i click on anything it gives me a black screen then it closes itself....,BUG,C6,HIGH
117,org.dolphinemu.dolphinemu,0.11,1,1393397681699,?,siddhant tiwari,Not good Pokemon xd   beyblade I tried none works lost all hopes but please try to improve,BUG,C6,HIGH
118,org.dolphinemu.dolphinemu,0.11,1,1379815850676,?,Benjamin Goh,Black screen Keeps getting a black screen :(,BUG,C6,HIGH
119,org.dolphinemu.dolphinemu,0.11,1,1378575406339,Galaxy Tab 10.1,Suyash Talekar,It doesn't work I downloaded my favourite rom but it is not working,BUG,C6,HIGH
120,org.dolphinemu.dolphinemu,0.11,1,1380478758158,?,Jonathan Houet,? It won't work my screen goes black every time I play luigis mansion,BUG,C6,HIGH
121,org.dolphinemu.dolphinemu,0.11,1,1380323713393,?,Kevin Biles,Cant launch game or change directory of the game or launch setting Pitiful please patch,BUG,C6,HIGH
122,org.dolphinemu.dolphinemu,0.11,1,1382260843923,Samsung Galaxy Note,Jake Fellows,Crap It won't even work I go to load a game and the whole app freezes then you have to force shut it  Tried re installing and the same happened again  Shame as this is the only gamecube emulator on the play store,BUG,C6,HIGH
123,org.dolphinemu.dolphinemu,0.11,1,1381304885319,HTC One X,John Arcie Caraveo,Dang Ain't working the game isn't appearing just black screen after I unpack it. What is ROM anyway?,BUG,C6,HIGH
124,org.dolphinemu.dolphinemu,0.11,1,1379619643935,Asus Nexus 7,Justin Walters,not working Before the update I would click on a ROM and nothing happens .... Now with the resent update I click on the ROM... And nothing happens it just exits me from the app.. every update is the same I'm getting bored now,BUG,C6,HIGH
125,org.dolphinemu.dolphinemu,0.11,1,1379183949431,Samsung Galaxy S3,Dioshi Tatd,"Doesn't work On the S3 - can't do anything with it. Won't load a game  everything is blank & it constantly gives me the messages "" dolphin has stopped working unexpectedly. """,BUG,C6,HIGH
126,org.dolphinemu.dolphinemu,0.11,2,1381428336165,?,Cedric Mccarroll,I am clueless I have no idea how this works I tried downlaoding luigi's mansion it downlaods but it turns red and a can't play it and its been doing that for the longest it just won't work fix it plz,BUG,C6,HIGH
127,org.dolphinemu.dolphinemu,0.11,2,1380927430916,Samsung Galaxy S2,Keziah Hardiman,0 Got the rom i wanted  and when i went to my download file in this app the screen went black and froze my phone... Please fix? GS2,BUG,C6,HIGH
128,org.dolphinemu.dolphinemu,0.11,2,1377310968160,Asus Nexus 7,Neo Zanzuken,Fix Downloaded Luigi's mansion only to have it crash when I open it,BUG,C6,HIGH
129,org.dolphinemu.dolphinemu,0.11,2,1379679299476,?,Claudia White,Needs fixing Downloaded Mario Party 6 to play  and everytime I open the game I just get a black screen. Once this works I'll five star it.,BUG,C6,HIGH
130,org.dolphinemu.dolphinemu,0.11,2,1380458864526,?,Luke Woods,Black screen It works but just goes to a black screen with the buttons when I click the game,BUG,C6,HIGH
131,org.dolphinemu.dolphinemu,0.11,2,1381638222309,?,pikminfan221,Fix it! This is a great emulator on the pc but here if u get the right Rom in a file the screen blacks out so if u want me to rate this higher fix this problem,BUG,C6,HIGH
132,org.dolphinemu.dolphinemu,0.11,2,1380377107849,Samsung Galaxy S2,Carlos Reyes,some bugs i cant seem to get Super smash bros. melee to load  the screen just sits there plz fix,BUG,C6,HIGH
133,org.dolphinemu.dolphinemu,0.11,2,1379621090750,?,nub johnsom,Please help and I will give 5 stars Can't get anything to load. All I get is a black screen. Help me out dev!,BUG,C6,HIGH
134,org.dolphinemu.dolphinemu,0.11,2,1381082052634,?,Tinku Khan,gamecube The roms won't even load up.,BUG,C6,HIGH
135,org.dolphinemu.dolphinemu,0.11,3,1379017649062,?,Larry Hodge,HELO HELP ME . PLZ REPLY i cnt get any games to start . it pens the game and the the letters S A B pops up and stays there PLZ HELP ME,BUG,C6,HIGH
136,org.dolphinemu.dolphinemu,0.11,3,1380104369946,?,Greg King,Black screen! Every ROM goes black screen on my Nexus 7. I wish there was a paid version so you guys could be paid for your work. Thank you and will give a 5 * when it works. Keep it up.,BUG,C6,HIGH
137,org.dolphinemu.dolphinemu,0.11,3,1377410493031,?,Harley Gearholdt,"Cool concept The only game I am really interested in playing is phantasy star online episode 1 and 2.   Once downloaded I try to open the rom through the dolphin program and it keeps saying ""cannot open compressed files"".   If anybody has any tips for me on this matter please let me know and this emulator will have 5 star rank easily.",BUG,C6,HIGH
138,org.dolphinemu.dolphinemu,0.11,3,1377697208227,?,Paulis Gributs,Not great It doesn't run at all on my GIT ARM recomplier but then when I choose interpeter it goes black and waiting half hour but still nothing using dual core xperia go plz fix,BUG,C6,HIGH
139,org.dolphinemu.dolphinemu,0.11,3,1380381138936,?,Steve Jerry,Won't let me play I tried the legend of Zelda but it says that the file doesn't work and where can u download games for this how do u use it.(PS.could u make a video of how to run the emu and make a link to a website that the emu supports thanks if u do I will change my comment and make a link to a bios for the emu but for now 2)edit:I found some games but all I got was a black screen how do I play plz make more controls use dsois controls like how the other person said cause u can't play ROMs PS:can't type anymore words,BUG,C6,HIGH
140,org.dolphinemu.dolphinemu,0.11,3,1377851408417,Samsung Galaxy S3,Jeremiah Ball,Help! Everhtime I load up luigi's mansion it goes to where it shows Nintendo then freezes please respond asap because I really need help,BUG,C6,HIGH
141,org.dolphinemu.dolphinemu,0.11,3,1377310196238,?,vernus schumacher,Not yet I guess. Running on an nvidia shield.  As being one of the biggest powerhouses this year with a tegra 4 I would have at least expected it to load a game.  I don't care if full speed or not.  I guess we shall have to wait.,BUG,C6,HIGH
142,org.dolphinemu.dolphinemu,0.11,3,1381256171699,Motorola XOOM,Zack H,Won't run supported roms A ROM that runs just fine on my computer won't run on my Motorola Xoom. I select the rom  and the app closes. Hoping this gets fixed.,BUG,C6,HIGH
143,org.dolphinemu.dolphinemu,0.11,4,1379883657303,?,Alejandro Sanchez,Dose not show game I downloaded animal cross ing and it dose not work If they fix it I will give 5,BUG,C6,HIGH
144,org.dolphinemu.dolphinemu,0.11,4,1377145585944,?,Austin Anderson,4.3 issues I'm glad this project has such an early start so it will be ready when a capable phone does come along. It hasn't worked since I updated to 4.3 though. The screen stays black after a game is clicked and not even the buttons show up. I tryed evey setting combination. 4 stars because it worked for 4.2. Galaxy s 4 Google play edition on Android 4.3,BUG,C6,HIGH
145,org.dolphinemu.dolphinemu,0.11,4,1379995278256,?,Chris Flowers,Will not work on Galaxy Tab 2 10.1 P5113 or SIII i747 Just get Black Screens when I try to run a Game. Both Devices do not support OpenGLES 3 either. Guessing in time maybe  or have to have a better Device. Give it 4 Stars for the Effort and because the Computer Version of this Emu ROCKS!!!!!!!!!,BUG,C6,HIGH
146,org.dolphinemu.dolphinemu,0.11,5,1381539767929,Asus Nexus 7,jack daniels,Nexus 7 It keeps crashing when I play Kirby's air ride,BUG,C6,HIGH
